,created_at,device,retweet_count,favorite_count,numerator,dog_name,type,p1,p1_conf
0,2017-08-01 16:23:56+00:00,iphone,7455,35307,13,Phineas,None,orange,0.0970486
1,2017-08-01 00:17:27+00:00,iphone,5536,30560,13,Tilly,None,Chihuahua,0.323581
2,2017-07-31 00:18:03+00:00,iphone,3661,23001,12,Archie,None,Chihuahua,0.716012
3,2017-07-30 15:58:51+00:00,iphone,7628,38598,13,Darla,None,paper_towel,0.17027799999999998
4,2017-07-29 16:00:24+00:00,iphone,8224,36886,12,Franklin,None,basset,0.555712
5,2017-07-29 00:08:17+00:00,iphone,2752,18607,13,NaN,None,Chesapeake_Bay_retriever,0.425595
6,2017-07-28 16:27:12+00:00,iphone,1781,10807,13,NaN,None,Appenzeller,0.34170300000000003
7,2017-07-28 00:22:40+00:00,iphone,16668,59506,13,NaN,None,Pomeranian,0.566142
8,2017-07-27 16:25:51+00:00,iphone,3805,25596,13,Zoey,None,Irish_terrier,0.487574
9,2017-07-26 15:59:51+00:00,iphone,6467,29202,14,Cassie,doggo,Pembroke,0.511319
10,2017-07-26 00:31:25+00:00,iphone,6479,28157,13,Koda,None,Samoyed,0.957979
11,2017-07-25 16:11:53+00:00,iphone,4400,25621,13,Bruno,None,French_bulldog,0.377417
12,2017-07-25 01:55:32+00:00,iphone,8842,43979,13,NaN,puppo,Pembroke,0.966327
13,2017-07-25 00:10:02+00:00,iphone,3953,24748,12,Ted,None,French_bulldog,0.99165
14,2017-07-24 17:02:04+00:00,iphone,1993,13926,13,Stuart,puppo,golden_retriever,0.953442
15,2017-07-24 00:19:32+00:00,iphone,4703,23101,13,Oliver,None,whippet,0.626152
16,2017-07-23 00:22:39+00:00,iphone,3964,26706,12,Jim,None,golden_retriever,0.714719
17,2017-07-22 16:56:37+00:00,iphone,3735,23433,13,Zeke,None,golden_retriever,0.46976
18,2017-07-22 00:23:06+00:00,iphone,3056,18077,13,Ralphus,None,Siberian_husky,0.700377
19,2017-07-20 16:49:33+00:00,iphone,3062,19975,12,Gerald,None,French_bulldog,0.995026
20,2017-07-19 16:06:48+00:00,iphone,4773,27762,13,Jeffrey,None,basset,0.821664
21,2017-07-19 03:39:09+00:00,iphone,10402,42520,14,NaN,None,limousine,0.130432
22,2017-07-19 00:47:34+00:00,iphone,15883,62921,13,Canela,None,Pembroke,0.809197
23,2017-07-18 16:08:03+00:00,iphone,9305,30880,13,NaN,None,Mexican_hairless,0.330741
24,2017-07-18 00:07:08+00:00,iphone,5266,28105,12,NaN,None,Samoyed,0.733942
25,2017-07-17 16:17:36+00:00,iphone,6753,31899,13,Maya,None,Chihuahua,0.793469
26,2017-07-16 23:58:41+00:00,iphone,2812,10950,13,Mingus,None,kuvasz,0.309706
27,2017-07-16 20:14:00+00:00,iphone,3954,20634,13,Derek,None,convertible,0.738995
